pstn,Chelsea,ManCity,Arsenal,ManUtd,Spurs,Liverpool,Southampton,Swansea,Stoke,CrystalPalace,Everton,WestHam,WestBrom,Leicester,Newcastle,Sunderland,AstonVilla,Bournemouth,Watford,Norwich
1,0,19,10,9,1,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0
2,0,25,21,18,7,0,0,1,0,5,1,3,0,21,0,0,1,0,0,0
3,1,20,30,20,6,1,0,1,0,7,2,9,0,17,1,0,0,0,2,0
4,0,13,14,22,6,4,0,5,0,9,3,11,0,12,1,0,5,0,2,0
5,1,6,7,30,8,4,3,8,0,14,7,30,0,5,0,0,7,0,1,0
6,0,3,7,22,6,10,6,6,0,21,21,29,0,5,0,0,3,1,4,1
7,1,1,5,6,6,28,15,8,13,24,21,13,0,3,0,0,3,1,6,4
8,6,0,1,0,6,47,22,12,27,24,27,15,4,1,0,0,4,2,9,8
9,12,0,1,0,7,54,22,6,31,17,25,13,3,1,0,1,7,1,19,11
10,14,0,0,0,5,37,21,6,20,14,27,13,5,0,1,0,4,6,25,4
11,10,0,5,0,2,10,19,13,10,8,32,9,9,0,3,0,1,14,29,8
12,10,0,6,0,3,4,15,15,3,1,16,4,21,0,4,0,6,10,31,10
13,16,0,2,0,3,5,6,16,6,4,3,0,29,0,3,0,6,17,28,10
14,26,2,1,0,7,2,2,12,15,5,1,0,28,0,1,2,6,33,20,12
15,36,7,4,0,9,8,8,19,19,7,0,4,20,0,14,1,2,28,6,14
16,19,6,7,0,6,7,9,23,12,6,0,5,10,0,15,1,2,25,1,21
17,5,1,1,0,4,1,5,8,7,0,1,1,5,0,17,9,3,10,1,22
18,3,1,3,0,2,1,5,6,6,0,1,1,5,0,32,20,9,7,0,17
19,1,1,4,0,2,1,4,1,3,1,3,1,4,1,26,24,9,8,1,10
20,1,1,3,0,1,1,1,1,3,1,2,1,3,1,7,13,3,1,1,3
